time (minutes),A,B
0,0,0
0.000833333333333333,34624.3492380145,57567.9244333943
0.00166666666666667,34624.3493976998,57567.964671829
0.0025,34624.3495573084,57568.0048987193
0.00333333333333333,34624.34971684,57568.0451140684
0.00416666666666667,34624.3498762949,57568.0853178797
0.005,34624.3500356731,57568.1255101565
0.00583333333333333,34624.3501949745,57568.1656909019
0.00666666666666667,34624.3503541992,57568.2058601194
0.0075,34624.3505133474,57568.2460178122
0.00833333333333333,34624.3506724188,57568.2861639836
0.00916666666666667,34624.3508314138,57568.3262986369
0.01,34624.3509903322,57568.3664217754
0.0108333333333333,34624.3511491741,57568.4065334024
0.0116666666666667,34624.3513079395,57568.4466335211
0.0125,34624.3514666285,57568.4867221349
0.0133333333333333,34624.3516252412,57568.5267992471
0.0141666666666667,34624.3517837774,57568.5668648608
0.015,34624.3519422374,57568.6069189795
0.0158333333333333,34624.3521006211,57568.6469616064
0.0166666666666667,34624.3522589286,57568.6869927447
0.0175,34624.3524171598,57568.7270123978
0.0183333333333333,34624.3525753149,57568.7670205689
0.0191666666666667,34624.3527333939,57568.8070172614
0.02,34624.3528913967,57568.8470024784
0.0208333333333333,34624.3530493235,57568.8869762233
0.0216666666666667,34624.3532071743,57568.9269384994
0.0225,34624.3533649492,57568.9668893099
0.0233333333333333,34624.353522648,57569.006828658
0.0241666666666667,34624.353680271,57569.0467565472
0.025,34624.3538378181,57569.0866729806
0.0258333333333333,34624.3539952893,57569.1265779615
0.0266666666666667,34624.3541526848,57569.1664714932
0.0275,34624.3543100045,57569.206353579
0.0283333333333333,34624.3544672484,57569.2462242221
0.0291666666666667,34624.3546244167,57569.2860834258
0.03,34624.3547815093,57569.3259311933
0.0308333333333333,34624.3549385264,57569.365767528
0.0316666666666667,34624.3550954678,57569.4055924331
0.0325,34624.3552523337,57569.4454059118
0.0333333333333333,34624.355409124,57569.4852079675
0.0341666666666667,34624.3555658389,57569.5249986033
0.035,34624.3557224784,57569.5647778226
0.0358333333333333,34624.3558790425,57569.6045456287
0.0366666666666667,34624.3560355312,57569.6443020246
0.0375,34624.3561919446,57569.6840470138
0.0383333333333333,34624.3563482827,57569.7237805995
